,date,rank,song,artist,last-week,peak-rank,weeks-on-board
33636,2015-05-30,37,Time Of Our Lives,Pitbull & Ne-Yo,31.0,9,23
33676,2015-05-30,77,Fun,Pitbull Featuring Chris Brown,,77,1
33730,2015-05-23,31,Time Of Our Lives,Pitbull & Ne-Yo,29.0,9,22
33828,2015-05-16,29,Time Of Our Lives,Pitbull & Ne-Yo,25.0,9,21
33924,2015-05-09,25,Time Of Our Lives,Pitbull & Ne-Yo,19.0,9,20
34018,2015-05-02,19,Time Of Our Lives,Pitbull & Ne-Yo,17.0,9,19
34116,2015-04-25,17,Time Of Our Lives,Pitbull & Ne-Yo,15.0,9,18
34214,2015-04-18,15,Time Of Our Lives,Pitbull & Ne-Yo,11.0,9,17
34310,2015-04-11,11,Time Of Our Lives,Pitbull & Ne-Yo,9.0,9,16
34408,2015-04-04,9,Time Of Our Lives,Pitbull & Ne-Yo,9.0,9,15
34508,2015-03-28,9,Time Of Our Lives,Pitbull & Ne-Yo,9.0,9,14
34608,2015-03-21,9,Time Of Our Lives,Pitbull & Ne-Yo,10.0,9,13
34709,2015-03-14,10,Time Of Our Lives,Pitbull & Ne-Yo,11.0,10,12
34810,2015-03-07,11,Time Of Our Lives,Pitbull & Ne-Yo,13.0,11,11
34912,2015-02-28,13,Time Of Our Lives,Pitbull & Ne-Yo,11.0,11,10
35010,2015-02-21,11,Time Of Our Lives,Pitbull & Ne-Yo,11.0,11,9
35110,2015-02-14,11,Time Of Our Lives,Pitbull & Ne-Yo,21.0,11,8
35220,2015-02-07,21,Time Of Our Lives,Pitbull & Ne-Yo,24.0,21,7
35323,2015-01-31,24,Time Of Our Lives,Pitbull & Ne-Yo,35.0,24,6
35434,2015-01-24,35,Time Of Our Lives,Pitbull & Ne-Yo,33.0,33,5
35532,2015-01-17,33,Time Of Our Lives,Pitbull & Ne-Yo,46.0,33,4
35645,2015-01-10,46,Time Of Our Lives,Pitbull & Ne-Yo,87.0,46,3
35786,2015-01-03,87,Time Of Our Lives,Pitbull & Ne-Yo,,87,2
35795,2015-01-03,96,Fireball,Pitbull Featuring John Ryan,88.0,23,20
35887,2014-12-27,88,Fireball,Pitbull Featuring John Ryan,72.0,23,19
35971,2014-12-20,72,Fireball,Pitbull Featuring John Ryan,50.0,23,18
36049,2014-12-13,50,Fireball,Pitbull Featuring John Ryan,68.0,23,17
36074,2014-12-13,75,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,94.0,18,9
36093,2014-12-13,94,Time Of Our Lives,Pitbull & Ne-Yo,,94,1
36167,2014-12-06,68,Fireball,Pitbull Featuring John Ryan,64.0,23,16
36193,2014-12-06,94,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,,18,8
36263,2014-11-29,64,Fireball,Pitbull Featuring John Ryan,56.0,23,15
36355,2014-11-22,56,Fireball,Pitbull Featuring John Ryan,23.0,23,14
36399,2014-11-22,100,Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,,18,7
36422,2014-11-15,23,Fireball,Pitbull Featuring John Ryan,30.0,23,13
36529,2014-11-08,30,Fireball,Pitbull Featuring John Ryan,32.0,30,12
